Hand,Ident,Distinct hands,Frequency,Probability,Cumulative probability,Odds against
Royal flush,ROYAL_FLUSH,1,4,0.00000154,0.00000154,649739
Straight flush (excluding royal flush),STRAIGHT_FLUSH,9,36,0.0000139,0.000015,72192.33
Four of a kind,FOUR_OF_A_KIND,156,624,0.0002401,0.000256,4164
Full house,FULL_HOUSE,156,3744,0.001441,0.0017,693.1667
Flush (excluding royal flush and straight flush),FLUSH,1277,5108,0.001965,0.00367,508.8019
Straight (excluding royal flush and straight flush),STRAIGHT,10,10200,0.003925,0.0076,253.8
Three of a kind,THREE_OF_A_KIND,858,54912,0.021128,0.0287,46.32955
Two pair,TWO_PAIR,858,123552,0.047539,0.0762,20.03535
One pair,PAIR,2860,1098240,0.422569,0.499,1.366477
No pair / High card,HIGH_CARD,1277,1302540,0.501177,1,0.9953015
